                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2086,                 2.3291,                0.92477,                 1.1427,                0.73227,                0.51068,                0.58759,                0.34937,                0.66587,                0.44529,                0.49823,                0.23355,                 1.3302,                 2.4547,                0.97614,                 1.2182,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.2031,                 2.3151,                0.93005,                 1.1392,                0.66658,                0.54364,                 0.5993,                0.35844,                0.58901,                0.48587,                  0.488,                0.23284,                 1.2672,                 2.4507,                0.95629,                 1.1758,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.1984,                 2.3057,                 0.9202,                 1.1345,                0.62542,                0.55335,                0.58085,                0.35308,                0.67862,                0.44174,                 0.5075,                0.23588,                 1.2778,                 2.4225,                0.95801,                 1.1854,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.1936,                  2.301,                0.90813,                 1.1301,                0.65013,                0.53241,                0.58271,                0.35072,                0.57573,                0.47655,                0.49165,                0.23168,                 1.2753,                 2.4154,                0.97276,                 1.1851,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.1903,                 2.2869,                0.90155,                 1.1256,                0.70642,                0.54367,                0.58934,                0.35753,                0.64572,                0.48478,                0.51061,                0.23795,                 1.2787,                 2.4261,                0.93835,                 1.1681,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.1826,                 2.2827,                0.89067,                 1.1208,                0.70018,                0.53255,                0.60015,                0.36213,                0.61513,                0.47858,                0.51779,                0.24245,                 1.2792,                  2.426,                0.93795,                 1.1843,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.1803,                   2.27,                0.89458,                 1.1253,                0.71631,                0.52394,                0.59326,                0.36241,                0.67945,                0.47186,                0.52413,                0.24514,                 1.2832,                 2.4182,                0.95284,                  1.187,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.1759,                 2.2796,                0.88737,                 1.1216,                0.66241,                0.55539,                0.61076,                0.37335,                0.67201,                0.47521,                0.52557,                0.24623,                 1.2521,                 2.4073,                0.93449,                 1.1592,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.1802,                 2.2627,                 0.8908,                 1.1224,                0.69185,                0.56082,                0.61301,                0.37518,                0.62346,                0.49055,                0.52481,                0.24458,                 1.2593,                 2.4416,                0.92675,                 1.1618,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.1679,                 2.2617,                0.87661,                  1.118,                0.77217,                0.49824,                0.61132,                0.37362,                0.70316,                  0.464,                0.51851,                0.24487,                 1.2429,                 2.4072,                 0.9212,                 1.1626,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.1627,                 2.2525,                0.88149,                 1.1145,                0.64105,                0.54813,                 0.5795,                0.35398,                0.62135,                0.48989,                0.51202,                0.23795,                 1.2619,                 2.4136,                0.94916,                 1.1623,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.1587,                 2.2574,                0.87387,                 1.1123,                0.64494,                0.55748,                0.61223,                0.37653,                0.58036,                0.50245,                  0.519,                0.24689,                 1.2375,                 2.3857,                0.92498,                 1.1543,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.1499,                 2.2444,                0.86927,                 1.1104,                0.71704,                0.55926,                 0.6115,                0.37535,                0.67658,                0.48066,                0.52641,                0.24782,                 1.2478,                  2.407,                0.89234,                 1.1645,              0.0011059,              0.0011059,              0.0011059
